#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
31,Chile,"4,674,373","4,970","61,412",15,"4,595,160","2,939","17,801",85,"239,819","3,151","45,618,677","2,340,472","19,491,226",South America,43170,255,0.8,913,,
32,Israel,"4,672,057",,"11,712",,"4,654,277",,"6,068",90,"500,971","1,256","41,373,364","4,436,346","9,326,000",Asia,27960,,,651,,
33,Belgium,"4,586,564",,"32,776",,"4,476,350","2,495","77,438",68,"391,851","2,800","35,787,160","3,057,458","11,704,873",Europe,33570,,,"6,616",,
34,Canada,"4,293,273",,"45,689",,"4,173,222","5,111","74,362",99,"111,518","1,187","65,412,557","1,699,096","38,498,455",North America,98431,,,"1,932",,
35,Peru,"4,150,544",423,"216,860",5,"3,928,457",239,"5,227",118,"121,997","6,374","35,462,029","1,042,333","34,021,774",South America,81571,12,0.1,154,,
36,Switzerland,"4,144,447",,"14,203",,"4,043,305","2,360","86,939",54,"470,999","1,614","22,476,990","2,554,417","8,799,264",Europe,26200,,,"9,880",,
37,Czechia,"4,140,510","1,917","41,378",9,"4,078,556","3,303","20,576",59,"385,007","3,848","56,376,755","5,242,219","10,754,369",Europe,32600,178,0.8,"1,913",,
38,South Africa,"4,023,358",385,"102,246",,"3,912,506",,"8,606",192,"65,937","1,676","26,174,429","428,963","61,017,944",Africa,155972,6,,141,,
39,Philippines,"3,980,644","2,382","63,477",38,"3,890,748","2,232","26,419",654,"35,253",562,"33,067,051","292,849","112,915,001",Asia,"2,817,793",21,0.3,234,,
40,Romania,"3,279,623",478,"67,119",5,"3,201,448","1,188","11,056",107,"173,116","3,543","25,294,338","1,335,167","18,944,700",Europe,62821,25,0.3,584,,
41,Denmark,"3,125,106",,"7,173",,"3,104,569",,"13,364",1,"535,230","1,229","128,522,038","22,011,699","5,838,806",Europe,28140,,,"2,289",,
42,Sweden,"2,604,866",,"20,407",,"2,558,121",938,"26,338",17,"254,303","1,992","19,010,468","1,855,916","10,243,171",Europe,45021,,,"2,571",,
43,Iraq,"2,460,868",,"25,356",,"2,435,048",,464,21,"58,196",600,"19,350,944","457,619","42,286,149",Asia,"1,716,682",,,11,,
44,Serbia,"2,387,682","1,174","17,128",6,"2,337,151","2,742","33,403",29,"275,809","1,979","11,212,750","1,295,223","8,657,003",Europe,45051,136,0.7,"3,858",,
45,Hungary,"2,120,543",,"47,680",,"2,036,700",,"36,163",32,"220,790","4,964","11,394,556","1,186,398","9,604,329",Europe,52011,,,"3,765",,
46,Bangladesh,"2,032,092",295,"29,395",2,"1,973,588",516,"29,109","1,331","12,064",175,"14,938,292","88,686","168,439,485",Asia,"83,573,011",2,0.01,173,,
47,Singapore,"2,005,884","8,037","1,641",,"1,905,616","9,023","98,627",13,"336,812",276,"24,548,641","4,122,016","5,955,494",Asia,"336,290","1,350",,"16,561",,
48,Slovakia,"1,849,389",412,"20,507",6,"1,823,628",439,"5,254",42,"338,364","3,752","7,317,820","1,338,867","5,465,683",Europe,32671,75,1,961,,
49,Hong Kong,"1,832,284","5,424","10,268",7,"1,622,893","10,069","199,123",5,"239,954","1,345","66,284,763","8,680,577","7,635,986",Asia,47440,710,0.9,"26,077",,
50,New Zealand,"1,800,602",,"3,013",,"1,787,362",,"10,227",,"359,969",602,"7,544,063","1,508,179","5,002,100",Australia/Oceania,"316,601",,,"2,045",,
51,Georgia,"1,780,691",,"16,900",,"1,637,293",,"126,498",,"448,347","4,255","16,920,079","4,260,184","3,971,678",Asia,22350,,,"31,850",,
52,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"167,423","1,353","17,201,885","1,648,536","10,434,643",Asia,67391,,,179,,
53,Ireland,"1,668,301",,"7,952",,"1,653,116",679,"7,233",11,"329,453","1,570","12,744,275","2,516,713","5,063,857",Europe,36370,,,"1,428",,
54,Pakistan,"1,573,319",36,"30,620",,"1,538,689",,"4,010",27,"6,820",133,"30,570,862","132,515","230,698,226",Asia,"14,775,348",0.2,,17,,
55,Norway,"1,463,438",41,"4,153",,"1,458,165",80,"1,120",20,"265,206",753,"11,002,430","1,993,873","5,518,120",Europe,"413,291",7,,203,,
56,Kazakhstan,"1,394,239",53,"13,692",,"1,379,442",,"1,105",24,"72,278",710,"11,575,012","600,050","19,290,079",Asia,"1,414,092",3,,57,,
57,Finland,"1,323,455",,"6,242",,"1,284,209",,"33,004",21,"238,015","1,123","11,581,841","2,082,921","5,560,384",Europe,48910,,,"5,936",,
58,Bulgaria,"1,269,792",195,"37,784",2,"1,221,066",24,"10,942",44,"185,940","5,533","10,634,076","1,557,186","6,829,035",Europe,51811,29,0.3,"1,602",,
59,Morocco,"1,265,201",21,"16,278",,"1,248,779",13,144,293,"33,373",429,"12,621,980","332,941","37,910,564",Africa,"3,023,293",0.6,,4,,
60,Lithuania,"1,261,543",733,"9,360",2,"1,234,936",109,"17,247",7,"478,651","3,551","10,201,428","3,870,593","2,635,624",Europe,22820,278,0.8,"6,544",,
61,Croatia,"1,241,383",570,"17,012",6,"1,219,961",756,"4,410",23,"306,706","4,203","5,315,060","1,313,182","4,047,466",Europe,32381,141,1,"1,090",,
62,Lebanon,"1,216,999",,"10,688",,"1,087,587",,"118,724",74,"180,145","1,582","4,795,578","709,862","6,755,650",Asia,66321,,,"17,574",,
63,Slovenia,"1,215,166","1,861","6,849",1,"1,179,193","2,557","29,124",20,"584,329","3,293","2,755,649","1,325,092","2,079,591",Europe,23041,895,0.5,"14,005",,
64,Tunisia,"1,145,930",,"29,254",,N/A,N/A,N/A,101,"94,695","2,417","4,952,266","409,235","12,101,275",Africa,114142,,,552,,
65,Guatemala,"1,133,367",675,"19,851",3,"1,111,786",704,"1,730",5,"60,695","1,063","6,002,800","321,466","18,673,219",North America,169413,36,0.2,93,,
66,Costa Rica,"1,127,602",,"8,974",,"860,711",,"257,917",52,"216,828","1,726","4,659,757","896,033","5,200,433",North America,55801,,,"49,595",,
67,Cuba,"1,111,251",3,"8,530",,"1,102,647",1,74,,"98,247",754,"14,166,734","1,252,494","11,310,824",North America,"1,013,261",0.3,,7,,
68,Bolivia,"1,108,948",45,"22,237",,"1,060,326",551,"26,385",220,"92,128","1,847","2,705,422","224,759","12,037,000",South America,115414,4,,"2,192",,
69,UAE,"1,032,844",322,"2,346",,"1,011,757",293,"18,741",,"101,622",231,"192,968,317","18,986,318","10,163,546",Asia,"1,043,320",32,,"1,844",,
70,Ecuador,"1,006,922",,"35,904",,"968,469",294,"2,549",759,"55,157","1,967","3,082,403","168,848","18,255,486",South America,185086,,,140,,
71,Nepal,"1,000,123",45,"12,018",,"987,438",16,667,,"32,969",396,"5,947,509","196,062","30,334,870",Asia,"3,025,245",1,,22,,
72,Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,276",754,"13,646,641","1,445,278","9,442,223",Europe,"913,271",,,141,,
73,Panama,"988,280",,"8,505",,"978,903",,872,16,"221,090","1,903","7,104,713","1,589,407","4,470,039",North America,55261,,,195,,
74,Uruguay,"987,563",,"7,501",,"978,972",,"1,090",18,"282,061","2,142","6,114,822","1,746,475","3,501,236",South America,44671,,,311,,
75,Mongolia,"983,958",,"2,179",,"980,685",,"1,094",192,"289,487",641,"4,030,048","1,185,665","3,398,977",Asia,"315,601",,,322,,
76,Latvia,"942,923",,"6,028",,"924,260",,"12,635",3,"512,847","3,279","7,704,267","4,190,276","1,838,606",Europe,23050,,,"6,872",,
77,Azerbaijan,"822,538",53,"9,931",,"812,165",78,442,,"79,487",960,"7,286,811","704,173","10,348,046",Asia,"1,310,421",5,,43,,
78,Saudi Arabia,"818,731",139,"9,380",1,"805,354",110,"3,997",36,"22,709",260,"44,422,279","1,232,128","36,053,288",Asia,"4,438,441",4,0.03,111,,
79,Paraguay,"717,260",,"19,596",,"697,361",,303,7,"97,815","2,672","2,657,506","362,413","7,332,803",South America,103743,,,41,,
80,Bahrain,"685,269",202,"1,523",2,"681,468",254,"2,278",1,"373,067",829,"10,437,922","5,682,512","1,836,850",Asia,"312,060",110,1,"1,240",,
81,Sri Lanka,"670,918",19,"16,769",1,"654,119",104,30,,"31,035",776,"6,486,117","300,028","21,618,397",Asia,"3,212,893",0.9,0.05,1,,
82,Kuwait,"660,667",,"2,564",,"657,113",,990,1,"149,643",581,"8,393,046","1,901,053","4,414,946",Asia,"717,221",,,224,,
83,Dominican Republic,"647,185",29,"4,384",,"642,553",44,248,4,"58,323",395,"3,657,057","329,567","11,096,544",North America,"1,725,313",3,,22,,
84,Myanmar,"627,638",,"19,469",,"597,898",,"10,271",,"11,361",352,"9,056,450","163,937","55,243,352",Asia,"8,828,386",,,186,,
85,Palestine,"620,757",,"5,404",,"614,914",,439,17,"115,542","1,006","3,078,533","573,011","5,372,557",Asia,99942,,,82,,
86,Estonia,"604,380",,"2,713",,"524,990",,"76,677",7,"454,909","2,042","3,553,431","2,674,622","1,328,573",Europe,24900,,,"57,714",,
87,Cyprus,"593,542",,"1,189",,"584,124",,"8,229",60,"483,559",969,"9,640,118","7,853,809","1,227,445",Asia,"210,320",,,"6,704",,
88,Moldova,"591,853",,"11,870",,"504,142",,"75,841",49,"147,500","2,958","3,216,305","801,561","4,012,551",Europe,73381,,,"18,901",,
89,Venezuela,"545,231",38,"5,820",1,"538,926",14,485,36,"19,299",206,"3,359,014","118,895","28,251,936",South America,"5,248,548",1,0.04,17,,
90,Egypt,"515,645",,"24,613",,"442,182",,"48,850",122,"4,831",231,"3,693,367","34,599","106,747,021",Africa,"207,433,729",,,458,,
91,Libya,"507,010",,"6,437",,"500,528",,45,101,"71,562",909,"2,482,490","350,393","7,084,878",Africa,"1,411,013",,,6,,
92,Ethiopia,"493,781",14,"7,572",,"472,022",2,"14,187",,"4,065",62,"5,288,367","43,535","121,474,729",Africa,"2,461,604,323",0.1,,117,,
93,Réunion,"473,028",336,896,2,"418,572",,"53,560",10,"519,860",985,"1,603,660","1,762,430","909,914",Africa,"210,161",369,2,"58,863",,
94,Qatar,"461,398",428,682,,"458,204",776,"2,512",,"164,327",243,"3,994,911","1,422,788","2,807,805",Asia,"641,171",152,,895,,
95,Honduras,"456,664",,"10,996",,N/A,N/A,N/A,105,"44,489","1,071","1,533,488","149,394","10,264,723",North America,229337,,,"30,505",,
96,Armenia,"444,482",,"8,700",,"432,811",,"2,971",,"149,361","2,923","3,220,025","1,082,035","2,975,896",Asia,73421,,,998,,
97,Bosnia and Herzegovina,"399,410",,"16,156",,"377,069",,"6,185",,"123,495","4,995","1,867,560","577,436","3,234,227",Europe,82002,,,"1,912",,
98,Oman,"398,424",,"4,260",,"384,669",,"9,495",2,"73,733",788,"25,000,000","4,626,556","5,403,587",Asia,"1,412,680",,,"1,757",,
99,North Macedonia,"343,585",,"9,551",,"333,707",,327,,"164,933","4,585","2,136,270","1,025,486","2,083,179",Europe,62181,,,157,,
100,Kenya,"338,571",3,"5,678",,"332,826",8,67,1,"5,995",101,"3,905,193","69,144","56,479,317",Africa,"167,994,714",0.05,,1,,
101,Zambia,"333,624",,"4,017",,"329,544",,63,,"17,055",205,"3,740,005","191,194","19,561,265",Africa,"5,948,705",,,3,,
102,Albania,"332,619",21,"3,591",1,"327,429",19,"1,599",,"115,870","1,251","1,941,032","676,172","2,870,620",Europe,97991,7,0.3,557,,
103,Botswana,"326,344",,"2,790",,"322,955",,599,1,"132,650","1,134","2,026,898","823,881","2,460,182",Africa,88821,,,243,,
104,Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"458,611","1,745","4,412,567","6,796,312","649,259",Europe,25730,,,"11,756",,
105,Montenegro,"281,765",71,"2,784",2,"278,131",93,850,6,"448,493","4,431","2,637,911","4,198,837","628,248",Europe,22260,113,3,"1,353",,
106,Algeria,"270,734",,"6,881",,"182,353",,"81,500",,"5,929",151,"230,861","5,056","45,661,296",Africa,"1,696,636,198",,,"1,785",,
107,Nigeria,"265,937",121,"3,155",,"259,259",216,"3,523",11,"1,221",14,"5,441,162","24,980","217,821,693",Africa,"8,196,904,040",0.6,,16,,
108,Zimbabwe,"257,827",,"5,605",,"251,825",,397,12,"16,788",365,"2,525,756","164,464","15,357,516",Africa,"6,027,406",,,26,,
109,Uzbekistan,"244,382",,"1,637",,"241,486",,"1,259",23,"7,068",47,"1,377,915","39,849","34,578,019",Asia,"1,412,112,325",,,36,,
110,Brunei ,"231,833",,225,,"222,140",,"9,468",,"518,581",503,"717,784","1,605,590","447,053",Asia,"219,871",,,"21,179",,
111,Mozambique,"230,370",,"2,224",,"228,146",,0,11,"6,927",67,"1,371,127","41,227","33,257,805",Africa,"1,441,495,424",,,,,
112,Martinique,"222,830",,"1,047",,N/A,N/A,N/A,8,"594,848","2,795","828,928","2,212,835","374,600",North America,23580,,,"591,775",,
113,Laos,"216,088",20,758,,N/A,N/A,N/A,,"28,747",101,"1,233,207","164,058","7,516,898",Asia,"3,599,176",3,,"27,627",,
114,Kyrgyzstan,"206,250",,"2,991",,"196,406",,"6,853",131,"30,464",442,"1,907,195","281,702","6,770,264",Asia,"3,322,644",,,"1,012",,
115,Iceland,"205,963",,213,,N/A,N/A,N/A,2,"594,746",615,"1,996,384","5,764,831","346,304",Europe,"216,260",,,"375,580",,
116,El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,755",645,"2,610,114","397,823","6,560,989",North America,"3,315,513",,,"2,766",,
117,Afghanistan,"201,124",35,"7,811",1,"179,702",56,"13,611","1,124","4,914",191,"1,119,266","27,344","40,932,825",Asia,"204,524,037",0.9,0.02,333,,
118,Guadeloupe,"195,593",,991,,N/A,N/A,N/A,19,"488,640","2,476","938,039","2,343,457","400,280",North America,24040,,,"480,544",,
119,Maldives,"185,125",,308,,"163,687",,"21,130",25,"329,223",548,"2,213,831","3,937,036","562,309",Asia,"318,260",,,"37,577",,
120,Trinidad and Tobago,"184,261",,"4,235",,"177,081",,"2,945",8,"130,696","3,004","842,716","597,738","1,409,842",North America,83332,,,"2,089",,
121,Ghana,"170,177",,"1,460",,"168,293",,424,2,"5,227",45,"2,511,658","77,149","32,555,858",Africa,"1,912,229,913",,,13,,
122,Uganda,"169,396",,"3,628",,"100,431",,"65,337",3,"3,454",74,"3,012,408","61,422","49,044,537",Africa,"2,901,351,816",,,"1,332",,
123,Namibia,"169,253",,"4,065",,"164,813",,375,,"63,963","1,536","1,062,663","401,595","2,646,103",Africa,166512,,,142,,
124,Jamaica,"151,931",,"3,320",,"99,392",,"49,219",,"50,801","1,110","1,183,986","395,889","2,990,699",North America,209013,,,"16,457",,
125,Cambodia,"137,963",6,"3,056",,"134,834",10,73,,"7,999",177,"3,071,982","178,108","17,247,880",Asia,"12,556,446",0.3,,4,,
126,Rwanda,"132,526",,"1,467",,"131,027",,32,,"9,683",107,"5,839,807","426,689","13,686,339",Africa,"10,393,292",,,2,,
127,Cameroon,"121,652",,"1,935",,"118,616",,"1,101",13,"4,336",69,"1,751,774","62,437","28,056,749",Africa,"2,311,450,016",,,39,,
128,Malta,"114,985",22,806,,"113,495",20,684,4,"258,841","1,814","2,069,213","4,657,977","444,230",Europe,45510,50,,"1,540",,
129,Angola,"103,131",,"1,917",,"101,155",,59,,"2,930",54,"1,499,795","42,603","35,204,279",Africa,"3,411,836,423",,,2,,
130,Barbados,"102,580",,560,,"101,812",,208,,"355,959","1,943","765,701","2,657,033","288,179",North America,35150,,,722,,
131,French Guiana,"94,073",,410,,"11,254",,"82,409",3,"297,338","1,296","651,257","2,058,438","316,384",South America,37720,,,"260,471",,
132,DRC,"92,972",,"1,444",,"83,522",,"8,006",,971,15,"846,704","8,839","95,788,051",Africa,"103,066,335,113",,,84,,
133,Channel Islands,"92,884",,204,,"91,820",,860,,"523,214","1,149","1,252,808","7,057,040","177,526",Europe,28700,,,"4,844",,
134,Senegal,"88,555",,"1,968",,"86,486",,101,,"4,988",111,"1,146,543","64,584","17,752,853",Africa,"200,902,115",,,6,,
135,Malawi,"88,057",,"2,682",,"84,973",,402,67,"4,346",132,"618,640","30,535","20,260,246",Africa,"230,755,433",,,20,,
136,Ivory Coast,"87,535",26,827,1,"86,645",21,63,,"3,141",30,"1,635,766","58,689","27,871,811",Africa,"3,183,370,217",0.9,0.04,2,,
137,Suriname,"81,131",,"1,385",,N/A,N/A,N/A,,"135,524","2,314","239,280","399,703","598,645",South America,74323,,,"50,305",,
138,French Polynesia,"76,706",,649,,N/A,N/A,N/A,7,"269,504","2,280",,,"284,619",Australia/Oceania,4439,,,"149,523",,
139,New Caledonia,"74,210",,314,,"73,884",,12,9,"254,343","1,076","98,964","339,184","291,771",Australia/Oceania,49293,,,41,,
140,Eswatini,"73,436",,"1,422",,"71,973",,41,,"61,835","1,197","1,045,903","880,671","1,187,620",Africa,168351,,,35,,
141,Guyana,"71,401",2,"1,281",,"70,076",2,44,,"89,787","1,611","698,638","878,541","795,225",South America,116211,3,,55,,
142,Belize,"68,909",,686,,"68,197",,26,6,"166,395","1,656","576,016","1,390,906","414,130",North America,66041,,,63,,
143,Fiji,"68,248",,878,,"66,307",,"1,063",,"74,892",963,"663,351","727,925","911,290",Australia/Oceania,"1,310,381",,,"1,166",,
144,Madagascar,"66,687",,"1,410",,"65,267",,10,,"2,275",48,"512,993","17,497","29,318,753",Africa,"4,402,079,357",,,0.3,,
145,Sudan,"63,375",,"4,963",,"57,481",,931,,"1,372",107,"562,941","12,187","46,190,108",Africa,"729,930,782",,,20,,
146,Mauritania,"63,084",39,995,,"61,873",22,216,,"12,798",202,"983,415","199,511","4,929,116",Africa,"7,849,545",8,,44,,
147,Cabo Verde,"62,397",2,410,,"61,923",1,64,23,"109,509",720,"401,622","704,860","569,790",Africa,"913,901",4,,112,,
148,Bhutan,"62,200",,21,,"61,564",,615,,"78,632",27,"2,303,734","2,912,329","791,028",Asia,"13,376,680",,,777,,
149,Syria,"57,332",,"3,163",,"54,151",,18,,"3,104",171,"146,269","7,918","18,472,706",Asia,"3,225,840,126",,,1,,
150,Burundi,"50,289",,38,,"50,104",,147,,"3,960",3,"345,742","27,222","12,700,628",Africa,"25,333,422,737",,,12,,
151,Gabon,"48,810",,306,,"48,353",,151,,"20,807",130,"1,618,431","689,923","2,345,813",Africa,"4,876,661",,,64,,
152,Seychelles,"47,141",,169,,"46,446",,526,,"472,648","1,694",,,"99,738",Africa,2590,,,"5,274",,
153,Andorra,"46,366",,155,,"46,087",,124,14,"597,908","1,999","249,838","3,221,762","77,547",Europe,25000,,,"1,599",,
154,Papua New Guinea,"45,199",,668,,"43,982",,549,7,"4,842",72,"249,149","26,691","9,334,490",Australia/Oceania,"2,071,397,437",,,59,,
155,Curaçao,"45,127",,282,,"44,720",,125,3,"272,463","1,703","496,693","2,998,883","165,626",North America,45870,,,755,,
156,Aruba,"42,914",,227,,"42,438",,249,2,"398,082","2,106","177,885","1,650,109","107,802",North America,34751,,,"2,310",,
157,Mauritius,"40,548",,"1,030",,"38,894",,624,,"31,763",807,"358,675","280,964","1,276,589",Africa,"3,112,394",,,489,,
158,Mayotte,"40,297",,187,,N/A,N/A,N/A,,"139,986",650,"176,919","614,590","287,865",Africa,"715,392",,,"129,040",,
159,Tanzania,"39,679",,845,,N/A,N/A,N/A,7,624,13,,,"63,624,887",Africa,"160,375,296",,,607,,
160,Togo,"39,243",8,287,,"38,793",17,163,,"4,499",33,"795,321","91,182","8,722,357",Africa,"2,223,039,111",0.9,,19,,
161,Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"441,640","1,348","150,753","1,751,699","86,061",Europe,27421,,,"128,955",,
162,Guinea,"37,950",,455,,"37,034",,461,8,"2,721",33,"660,107","47,329","13,947,338",Africa,"3,683,065,321",,,33,,
163,Bahamas,"37,334",16,833,,"36,226",53,275,2,"92,909","2,073","248,846","619,279","401,832",North America,114822,40,,684,,
164,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,187",568,"778,000","15,785,095","49,287",Europe,"117,600",,,"546,534",,
165,Lesotho,"34,490",,706,,"25,980",,"7,804",,"15,813",324,"431,221","197,712","2,181,060",Africa,"6,330,895",,,"3,578",,
166,Haiti,"33,764",,857,,"31,434",,"1,473",,"2,881",73,"132,422","11,299","11,720,258",North America,"3,471,367,689",,,126,,
167,Mali,"32,706",2,742,,"31,865",11,99,,"1,515",34,"765,081","35,446","21,584,640",Africa,"6,602,909,028",0.09,,5,,
168,Cayman Islands,"30,809",,34,,"8,553",,"22,222",1,"456,524",504,"222,773","3,301,025","67,486",North America,"219,850",,,"329,283",,
169,Saint Lucia,"29,550",,404,,"29,095",,51,,"159,261","2,177","210,983","1,137,099","185,545",North America,64591,,,275,,
170,Benin,"27,782",,163,,"27,464",,155,5,"2,162",13,"604,310","47,031","12,849,273",Africa,"4,637,883,021",,,12,,
171,Somalia,"27,223",,"1,361",,"13,182",,"12,680",,"1,610",80,"400,466","23,686","16,907,146",Africa,"6,211,242,342",,,750,,
172,Congo,"24,837",,386,,"24,006",,445,,"4,261",66,"347,815","59,673","5,828,641",Africa,"2,351,510,017",,,76,,
173,Timor-Leste,"23,276",,138,,"23,102",,36,,"16,917",100,"278,529","202,441","1,375,855",Asia,"5,999,705",,,26,,
174,Burkina Faso,"21,631",,387,,"21,143",,101,,974,17,"248,995","11,209","22,213,940",Africa,"10,275,740,089",,,5,,
175,Solomon Islands,"21,544",,153,,"16,357",,"5,034",1,"29,700",211,"5,117","7,054","725,398",Australia/Oceania,"344,741,142",,,"6,940",,
176,San Marino,"21,245",,118,,"20,867",,260,4,"623,130","3,461","157,634","4,623,511","34,094",Europe,22890,,,"7,626",,
177,Liechtenstein,"20,325",,86,,"19,824",,415,5,"529,600","2,241","102,174","2,662,307","38,378",Europe,24460,,,"10,813",,
178,Gibraltar,"20,121",,108,,"16,579",,"3,434",,"597,630","3,208","534,283","15,869,164","33,668",Europe,23120,,,"101,996",,
179,Grenada,"19,536",,237,,"19,248",,51,4,"171,799","2,084","179,808","1,581,230","113,714",North America,64801,,,448,,
180,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,717",33,,,"6,804,707",North America,"36,830,243",,,"2,063",,
181,Bermuda,"18,220",,148,,"17,997",,75,,"295,046","2,397","1,008,999","16,339,271","61,753",North America,34170,,,"1,215",,
182,South Sudan,"17,823",,138,,"17,335",,350,1,"1,551",12,"410,280","35,696","11,493,697",Africa,"6,458,328,828",,,30,,
183,Tajikistan,"17,786",,125,,"17,264",,397,,"1,774",12,,,"10,027,435",Asia,"56,480,219",,,40,,
184,Equatorial Guinea,"17,081",,183,,"16,713",,185,5,"11,324",121,"365,697","242,440","1,508,399",Africa,"8,882,434",,,123,,
185,Tonga,"16,182",,12,,"15,638",,532,,"149,235",111,"535,009","4,934,005","108,433",Australia/Oceania,"790,360",,,"4,906",,
186,Samoa,"15,941",,29,,"1,605",,"14,307",4,"79,140",144,"187,397","930,347","201,427",Australia/Oceania,"1,369,461",,,"71,028",,
187,Dominica,"15,760",,74,,"15,673",,13,,"217,698","1,022","229,344","3,167,997","72,394",North America,59780,,,180,,
188,Djibouti,"15,690",,189,,"15,427",,74,,"15,370",185,"305,941","299,694","1,020,843",Africa,"6,554,013",,,72,,
189,Marshall Islands,"15,375",,17,,"15,192",,166,22,"255,811",283,,,"60,103",Australia/Oceania,"43,535",,,"2,762",,
190,CAR,"14,957",,113,,"14,536",,308,2,"2,978",23,"81,294","16,188","5,021,739",Africa,"3,364,444,062",,,61,,
191,Monaco,"14,790",8,63,,"14,671",12,56,4,"370,881","1,580","78,646","1,972,165","39,878",Europe,36331,201,,"1,404",,
192,Gambia,"12,508",,372,,"12,028",,108,,"4,863",145,"155,686","60,533","2,571,918",Africa,"206,691,417",,,42,,
193,Saint Martin,"11,992",,63,,"1,399",,"10,530",7,"298,509","1,568","112,382","2,797,451","40,173",North America,36380,,,"262,116",,
194,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,036",368,"164,926","2,893,692","56,995",North America,"527,140",,,"161,225",,
195,Yemen,"11,939",,"2,158",,"9,124",,657,23,381,69,"329,592","10,521","31,327,851",Asia,"26,241,451,795",,,21,,
196,Vanuatu,"11,935",,14,,"11,918",,3,,"36,887",43,"24,976","77,192","323,555",Australia/Oceania,"272,311,113",,,9,,
197,Caribbean Netherlands,"11,284",,36,,"10,476",,772,,"421,359","1,344","30,126","1,124,944","26,780",North America,27441,,,"28,827",,
198,Sint Maarten,"10,876",,87,,"10,779",,10,,"247,244","1,978","62,056","1,410,716","43,989",North America,45061,,,227,,
199,Eritrea,"10,182",,103,,"10,072",,7,,"2,783",28,"23,693","6,476","3,658,620",Africa,"35,935,521,154",,,2,,
200,Micronesia,"10,083",,31,,174,,"9,878",1,"85,609",263,"21,923","186,137","117,779",Australia/Oceania,"1,237,995",,,"83,869",,
201,Niger,"9,931",,312,,"8,890",,729,1,379,12,"254,538","9,711","26,210,825",Africa,"263,984,009,103",,,28,,
202,Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,259","1,463","18,901","189,423","99,782",North America,116835,,,60,,
203,Guinea-Bissau,"8,831",,176,,"8,310",,345,6,"4,257",85,"145,231","70,013","2,074,351",Africa,"2,351,178,614",,,166,,
204,Comoros,"8,481",,161,,"8,316",,4,,"9,300",177,,,"911,953",Africa,"1,085,664",,,4,,
205,Liberia,"7,985",,294,,"7,681",,10,2,"1,498",55,"139,824","26,236","5,329,477",Africa,"6,671,812,738",,,2,,
206,Sierra Leone,"7,752",,126,,N/A,N/A,N/A,,929,15,"259,958","31,141","8,347,857",Africa,"10,776,625,332",,,328,,
207,Chad,"7,605",,193,,"4,874",,"2,538",,434,11,"191,341","10,931","17,503,679",Africa,"23,029,069,391",,,145,,
208,British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,018","2,085","107,339","3,497,410","30,691",North America,44800,,,391,,
209,St. Vincent Grenadines,"7,112",,115,,"6,641",,356,,"63,645","1,029","100,856","902,555","111,745",North America,169721,,,"3,186",,
210,Saint Kitts and Nevis,"6,541",,46,,"6,482",,13,,"120,997",851,"124,861","2,309,717","54,059",North America,"811,750",,,240,,
211,Cook Islands,"6,389",,1,,"6,384",,4,,"362,991",57,"19,690","1,118,686","17,601",Australia/Oceania,"3,176,011",,,227,,
212,Turks and Caicos,"6,380",,36,,"6,321",,23,4,"159,844",902,"550,093","13,781,956","39,914",North America,"611,090",,,576,,
213,Sao Tome and Principe,"6,252",,77,,"6,159",,16,,"27,365",337,"29,036","127,093","228,463",Africa,"3,729,678",,,70,,
214,Palau,"5,490",,7,,"5,473",,10,1,"300,148",383,"65,505","3,581,269","18,291",Australia/Oceania,"326,130",,,547,,
215,St. Barth,"5,302",,6,,N/A,N/A,N/A,,"533,079",603,"78,646","7,907,299","9,946",North America,"216,580",,,"486,025",,
216,Nauru,"4,611",,1,,"4,605",,5,,"419,945",91,"20,509","1,867,851","10,980",Australia/Oceania,"2,109,801",,,455,,
217,Anguilla,"3,866",,12,,"3,849",,5,4,"252,531",784,"51,382","3,356,326","15,309",North America,"412,760",,,327,,
218,Kiribati,"3,430",,13,,"2,703",,714,3,"27,742",105,,,"123,638",Australia/Oceania,"369,511",,,"5,775",,
219,Saint Pierre Miquelon,"3,231",,1,,"2,449",,781,1,"563,973",175,"25,120","4,384,709","5,729",North America,"257,290",,,"136,324",,
220,Falkland Islands,"1,930",, ,,"1,886",,44,,"519,935",,"8,632","2,325,431","3,712",South America,20,,,"11,853",,
221,Saint Helena,"1,748",, ,,2,,"1,746",,"285,714",,,,"6,118",Africa,4,,,"285,387",,
